Annee,Subdivision,AgeQ80,Sexe,PartPopulationMoyenne
1983,Iles Du Vent,05-09 ans,1,-0.117583611851389
1983,Iles Du Vent,05-09 ans,2,0.120250170107271
1983,Iles Du Vent,10-14 ans,1,-0.119526211277983
1983,Iles Du Vent,10-14 ans,2,0.123498007511715
1983,Iles Du Vent,15-19 ans,1,-0.118111430093066
1983,Iles Du Vent,15-19 ans,2,0.120685244479896
1983,Iles Du Vent,20-24 ans,1,-0.0966344834329389
1983,Iles Du Vent,20-24 ans,2,0.0945761971693731
1983,Iles Du Vent,25-29 ans,1,-0.0830055096641576
1983,Iles Du Vent,25-29 ans,2,0.0877023602107079
1983,Iles Du Vent,30-34 ans,1,-0.0707112454457769
1983,Iles Du Vent,30-34 ans,2,0.0749971888449176
1983,Iles Du Vent,35-39 ans,1,-0.0625899245607349
1983,Iles Du Vent,35-39 ans,2,0.0601836465732217
1983,Iles Du Vent,40-44 ans,1,-0.0542033360628731
1983,Iles Du Vent,40-44 ans,2,0.0494417447534401
1983,Iles Du Vent,45-49 ans,1,-0.0425772470077075
1983,Iles Du Vent,45-49 ans,2,0.0406546960127429
1983,Iles Du Vent,50-54 ans,1,-0.0348773409209639
1983,Iles Du Vent,50-54 ans,2,0.0327577805320982
1983,Iles Du Vent,55-59 ans,1,-0.0242255376150419
1983,Iles Du Vent,55-59 ans,2,0.0246012317480967
1983,Iles Du Vent,60-64 ans,1,-0.0162124461983144
1983,Iles Du Vent,60-64 ans,2,0.0159603134549554
1983,Iles Du Vent,65-69 ans,1,-0.0117892404135874
1983,Iles Du Vent,65-69 ans,2,0.012755863121271
1983,Iles Du Vent,70-74 ans,1,-0.00756172804520158
1983,Iles Du Vent,70-74 ans,2,0.00926418707137695
1983,Iles Du Vent,75-79 ans,1,-0.00352393702126445
1983,Iles Du Vent,75-79 ans,2,0.00577706840968634
1983,Iles Du Vent,80 ans et plus,1,-0.00226552355623773
1983,Iles Du Vent,80 ans et plus,2,0.00331984597571504
1983,Iles Du Vent,Moins de 5 ans,1,-0.129256745307445
1983,Iles Du Vent,Moins de 5 ans,2,0.125920213400438
1983,Iles Sous-Le-Vent,05-09 ans,1,-0.121140677884098
1983,Iles Sous-Le-Vent,05-09 ans,2,0.123099206455392
1983,Iles Sous-Le-Vent,10-14 ans,1,-0.123754442289688
1983,Iles Sous-Le-Vent,10-14 ans,2,0.126645718072107
1983,Iles Sous-Le-Vent,15-19 ans,1,-0.118627868098971
1983,Iles Sous-Le-Vent,15-19 ans,2,0.12038965521689
1983,Iles Sous-Le-Vent,20-24 ans,1,-0.0947710404025219
1983,Iles Sous-Le-Vent,20-24 ans,2,0.093514157458763
1983,Iles Sous-Le-Vent,25-29 ans,1,-0.0811133587073276
1983,Iles Sous-Le-Vent,25-29 ans,2,0.0699415261136643
1983,Iles Sous-Le-Vent,30-34 ans,1,-0.0689404349364309
1983,Iles Sous-Le-Vent,30-34 ans,2,0.0717041457560928
1983,Iles Sous-Le-Vent,35-39 ans,1,-0.0610568408802877
1983,Iles Sous-Le-Vent,35-39 ans,2,0.0585733336849846
1983,Iles Sous-Le-Vent,40-44 ans,1,-0.0532471771897206
1983,Iles Sous-Le-Vent,40-44 ans,2,0.0490906062088386
1983,Iles Sous-Le-Vent,45-49 ans,1,-0.0428461757654001
1983,Iles Sous-Le-Vent,45-49 ans,2,0.0404337457342237
1983,Iles Sous-Le-Vent,50-54 ans,1,-0.0351078822478408
1983,Iles Sous-Le-Vent,50-54 ans,2,0.0321630197932791
1983,Iles Sous-Le-Vent,55-59 ans,1,-0.0251950549596077
1983,Iles Sous-Le-Vent,55-59 ans,2,0.0251268029905498
1983,Iles Sous-Le-Vent,60-64 ans,1,-0.0172773326908198
1983,Iles Sous-Le-Vent,60-64 ans,2,0.0169136535194672
1983,Iles Sous-Le-Vent,65-69 ans,1,-0.0125323117637058
1983,Iles Sous-Le-Vent,65-69 ans,2,0.0133824384098614
1983,Iles Sous-Le-Vent,70-74 ans,1,-0.00852928538544211
1983,Iles Sous-Le-Vent,70-74 ans,2,0.00975673307805252
1983,Iles Sous-Le-Vent,75-79 ans,1,-0.00383445345858605
1983,Iles Sous-Le-Vent,75-79 ans,2,0.00586511557678211
1983,Iles Sous-Le-Vent,80 ans et plus,1,-0.00228226944172372
1983,Iles Sous-Le-Vent,80 ans et plus,2,0.00289756111271429
1983,Iles Sous-Le-Vent,Moins de 5 ans,1,-0.132172993580352
1983,Iles Sous-Le-Vent,Moins de 5 ans,2,0.128258300396512
1983,Marquises,05-09 ans,1,-0.141459106327067
1983,Marquises,05-09 ans,2,0.140489695131486
1983,Marquises,10-14 ans,1,-0.146236354149091
1983,Marquises,10-14 ans,2,0.147614771174105
1983,Marquises,15-19 ans,1,-0.131098505334474
1983,Marquises,15-19 ans,2,0.126120103412437
1983,Marquises,20-24 ans,1,-0.0807115475812422
1983,Marquises,20-24 ans,2,0.085034204674777
1983,Marquises,25-29 ans,1,-0.0697067674449149
1983,Marquises,25-29 ans,2,0.0676320249981536
1983,Marquises,30-34 ans,1,-0.0538723216122889
1983,Marquises,30-34 ans,2,0.0529300374747607
1983,Marquises,35-39 ans,1,-0.0471468619703989
1983,Marquises,35-39 ans,2,0.0438393184223802
1983,Marquises,40-44 ans,1,-0.0445049416377519
1983,Marquises,40-44 ans,2,0.0435036994976168
1983,Marquises,45-49 ans,1,-0.0407840796466237
1983,Marquises,45-49 ans,2,0.0377372147561452
1983,Marquises,50-54 ans,1,-0.0346378927368876
1983,Marquises,50-54 ans,2,0.0259572621599585
1983,Marquises,55-59 ans,1,-0.0275621168801357
1983,Marquises,55-59 ans,2,0.0274612161919993
1983,Marquises,60-64 ans,1,-0.0206716726161379
1983,Marquises,60-64 ans,2,0.0204917247764582
1983,Marquises,65-69 ans,1,-0.0153845611434539
1983,Marquises,65-69 ans,2,0.0162114669047233
1983,Marquises,70-74 ans,1,-0.0132056087295386
1983,Marquises,70-74 ans,2,0.0113754049390361
1983,Marquises,75-79 ans,1,-0.00550769982041993
1983,Marquises,75-79 ans,2,0.00147480781453834
1983,Marquises,80 ans et plus,1,-0.00100044228112394
1983,Marquises,80 ans et plus,2,0.000837458773987613
1983,Marquises,Moins de 5 ans,1,-0.148269946785238
1983,Marquises,Moins de 5 ans,2,0.147295313896014
1983,Australes,05-09 ans,1,-0.146376344211144
1983,Australes,05-09 ans,2,0.14435116000987
1983,Australes,10-14 ans,1,-0.151224397858239
1983,Australes,10-14 ans,2,0.153019084508069
1983,Australes,15-19 ans,1,-0.129772126185042
1983,Australes,15-19 ans,2,0.132570565513465
1983,Australes,20-24 ans,1,-0.0844727301138205
1983,Australes,20-24 ans,2,0.0881687823231666
1983,Australes,25-29 ans,1,-0.0734725987888178
1983,Australes,25-29 ans,2,0.0700870185055645
1983,Australes,30-34 ans,1,-0.0525579284561333
1983,Australes,30-34 ans,2,0.043653392683763
1983,Australes,35-39 ans,1,-0.0431170737464696
1983,Australes,35-39 ans,2,0.0386628695155203
1983,Australes,40-44 ans,1,-0.0402486198407144
1983,Australes,40-44 ans,2,0.0380212085543914
1983,Australes,45-49 ans,1,-0.0368959257664643
1983,Australes,45-49 ans,2,0.0345359937598059
1983,Australes,50-54 ans,1,-0.0335148056473076
1983,Australes,50-54 ans,2,0.031312009613728
1983,Australes,55-59 ans,1,-0.0234873105138132
1983,Australes,55-59 ans,2,0.0217058920669048
1983,Australes,60-64 ans,1,-0.0161078427624131
1983,Australes,60-64 ans,2,0.0155818717849902
1983,Australes,65-69 ans,1,-0.0144730958290182
1983,Australes,65-69 ans,2,0.0148115668786679
1983,Australes,70-74 ans,1,-0.0100417081559476
1983,Australes,70-74 ans,2,0.00781289613830682
1983,Australes,75-79 ans,1,-0.00567290765192557
1983,Australes,75-79 ans,2,0.0104274032325665
1983,Australes,80 ans et plus,1,-0.00449680082319166
1983,Australes,80 ans et plus,2,0.00201676662475423
1983,Australes,Moins de 5 ans,1,-0.138629997622851
1983,Australes,Moins de 5 ans,2,0.148350217048835
1983,Tuamotu-Gambier,05-09 ans,1,-0.106461242766991
1983,Tuamotu-Gambier,05-09 ans,2,0.148961336251831
1983,Tuamotu-Gambier,10-14 ans,1,-0.100480935916512
1983,Tuamotu-Gambier,10-14 ans,2,0.136156419798507
1983,Tuamotu-Gambier,15-19 ans,1,-0.087751808047285
1983,Tuamotu-Gambier,15-19 ans,2,0.104605994089074
1983,Tuamotu-Gambier,20-24 ans,1,-0.132969773425295
1983,Tuamotu-Gambier,20-24 ans,2,0.0921118700326165
1983,Tuamotu-Gambier,25-29 ans,1,-0.122675037617144
1983,Tuamotu-Gambier,25-29 ans,2,0.0707278776972425
1983,Tuamotu-Gambier,30-34 ans,1,-0.0889057250920241
1983,Tuamotu-Gambier,30-34 ans,2,0.0519484176637328
1983,Tuamotu-Gambier,35-39 ans,1,-0.0625433871194297
1983,Tuamotu-Gambier,35-39 ans,2,0.0406581976928384
1983,Tuamotu-Gambier,40-44 ans,1,-0.0505703780286612
1983,Tuamotu-Gambier,40-44 ans,2,0.0397692108649468
1983,Tuamotu-Gambier,45-49 ans,1,-0.0484499851489689
1983,Tuamotu-Gambier,45-49 ans,2,0.0355617735188061
1983,Tuamotu-Gambier,50-54 ans,1,-0.0359605362037306
1983,Tuamotu-Gambier,50-54 ans,2,0.0365729196859458
1983,Tuamotu-Gambier,55-59 ans,1,-0.0246879187187417
1983,Tuamotu-Gambier,55-59 ans,2,0.0231199241406368
1983,Tuamotu-Gambier,60-64 ans,1,-0.0159206803381567
1983,Tuamotu-Gambier,60-64 ans,2,0.0212075752116807
